date,state,fips,cases,deaths,datetime,rate
2020-03-07,Georgia,13,7,0,2020-03-07,0.6592936911339031
2020-03-07,Hawaii,15,1,0,2020-03-07,0.7062785336527596
2020-03-07,Florida,12,12,2,2020-03-07,0.5587180809598329
2020-03-07,Indiana,18,1,0,2020-03-07,0.14853943402613612
2020-03-07,Kansas,20,1,0,2020-03-07,0.3432517057893519
2020-03-07,Kentucky,21,1,0,2020-03-07,0.22383016841205702
2020-03-07,Maryland,24,3,0,2020-03-07,0.4962220957774808
2020-03-07,Massachusetts,25,13,0,2020-03-07,1.87063736788084
2020-03-07,Minnesota,27,1,0,2020-03-07,0.17731653412846796
2020-03-07,Illinois,17,6,0,2020-03-07,0.47349153685172796
2020-03-08,Pennsylvania,42,6,0,2020-03-08,0.4686771719613257
2020-03-08,New Jersey,34,6,0,2020-03-08,0.675509080530815
2020-03-08,New York,36,106,0,2020-03-08,5.44887385913561
2020-03-08,North Carolina,37,2,0,2020-03-08,0.19069259933463537
2020-03-08,Oklahoma,40,1,0,2020-03-08,0.2527185566939965
2020-03-08,Oregon,41,13,0,2020-03-08,3.0822215799610078
2020-03-08,Rhode Island,44,3,0,2020-03-08,2.8318958315437324
2020-03-08,Washington,53,141,19,2020-03-08,18.51634684820916
2020-03-08,Tennessee,47,3,0,2020-03-08,0.43903462724643044
2020-03-08,Texas,48,23,0,2020-03-08,0.7932161123160907
2020-03-08,Utah,49,3,0,2020-03-08,0.9357577360651637
2020-03-08,Wisconsin,55,1,0,2020-03-08,0.1717494779674617
2020-03-08,Vermont,50,1,0,2020-03-08,1.602592353390845
2020-03-08,Virginia,51,2,0,2020-03-08,19.06323274300856
2020-03-08,New Hampshire,33,4,0,2020-03-08,2.941801603428964
2020-03-08,South Carolina,45,6,0,2020-03-08,1.1653395391548258
2020-03-08,Nevada,32,4,0,2020-03-08,1.2986355236552953
2020-03-08,Connecticut,9,1,0,2020-03-08,0.28048232863160805
2020-03-08,Missouri,29,1,0,2020-03-08,0.16293470163723306
2020-03-08,Nebraska,31,16,0,2020-03-08,8.271264386830493
2020-03-08,Arizona,4,5,0,2020-03-08,0.6869342495387579
2020-03-08,California,6,112,1,2020-03-08,2.8345659012908486
2020-03-08,Colorado,8,8,0,2020-03-08,1.3891937397373313
2020-03-08,Florida,12,13,2,2020-03-08,0.605277921039819
2020-03-08,Georgia,13,11,0,2020-03-08,1.0360329432104194
2020-03-08,Hawaii,15,2,0,2020-03-08,1.4125570673055192
2020-03-08,District of Columbia,11,1,0,2020-03-08,1.4169343491807995
